"mid","status","title","url"
"M112229547","ok","File:Abraham Ahlqvist SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112229547"
"M112229620","ok","File:Abraham Ahlqvist SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112229620"
"M112232035","ok","File:Albert Tullgren SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232035"
"M112232051","ok","File:Albert Tullgren SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232051"
"M112232057","ok","File:Albert Tullgren SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232057"
"M112232067","ok","File:Albert Tullgren SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232067"
"M112232077","ok","File:Albert Tullgren SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232077"
"M112232113","ok","File:Albert Tullgren SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232113"
"M112232423","ok","File:Anna Kleman SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112232423"
"M112237902","ok","File:August Sundblad SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112237902"
"M112237973","ok","File:A Sundblad SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112237973"
"M112237994","ok","File:August Sundblad SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112237994"
"M112238013","ok","File:August Sundblad SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238013"
"M112238315","ok","File:August Sundblad SPA10.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238315"
"M112238336","ok","File:August Sundblad SPA12.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238336"
"M112238350","ok","File:August Sundblad SPA14.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238350"
"M112238437","ok","File:August Sundblad SPA20.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238437"
"M112249446","ok","File:Axel Danielsson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249446"
"M112262327","ok","File:Alf Wallander SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112262327"
"M112263516","ok","File:Anton Hahn SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263516"
"M112263680","ok","File:Anton Hahn SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263680"
"M112263723","ok","File:Anton Hahn SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263723"
"M112263738","ok","File:A N Hahn SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263738"
"M112263751","ok","File:A N Hahn SPA12.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263751"
"M112263774","ok","File:Anton Hahn SPA12.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112263774"
"M112272450","ok","File:Adolf Gustaf Tamm SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112272450"
"M112272464","ok","File:Adolf Gustaf Tamm SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112272464"
"M112276027","ok","File:Ada Rydström SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112276027"
"M112276038","ok","File:Ada Rydström SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112276038"
"M112296573","ok","File:Agda Helin SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112296573"
"M112301102","ok","File:Ava Lagercrantz SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112301102"
"M112304132","ok","File:Anders Åman SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304132"
"M112304216","ok","File:Anders Åman SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304216"
"M112304254","ok","File:Adolf Randel SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304254"
"M112304307","ok","File:Adolf Randel SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304307"
"M112304317","ok","File:Adolf Randel SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304317"
