,authorid,WikidataID,librisid,WD_LIBRISXL
1,AbrahamssonS,Q4934135,,gdsvx6k00h624cw
2,AdlersparreKA,Q4933898,,vs69f8rd5rzvlqb
8,AhlichJ,Q5544058,,31fjm07m5jmhxsv
17,AlménR,Q4935182,,zw9cddxh3h3nz0q
18,AlménR,Q4935182,,zw9cddxh3h3nz0q
22,AlvingB,Q4568363,,75kmm88r0jqcgfb
27,AnderssonH,Q11862348,,64jmvfnq0szqq84
30,AnnerstedtD,Q5557470,,53hkn2cp22w6kh9
32,AntigonusCarystius,Q554362,,khwzsf930rqzkz1
38,ArnoldsonKP,Q192618,,64jlmnxq3j3vhcm
39,ArpingÅ,Q52151568,,wt7bj1jf2xhkn1w
43,AureliusH,Q16497462,,rp3566594fq6clf
44,AvianusC,Q77458278,,rp3572q94235nv6
45,AxehielmJ,Q5562885,,sq4683rb0k8fbhg
47,BackmanA,Q5563610,,gdsvvj3003vzt9h
48,BadinG,Q4356553,,86lpt6vs1z3btwf
53,BanérJGR,Q94538588,,sq468j5b1l7ksqs
56,BarthelsonA,Q18237593,,mkz26k851c2k22j
61,BeckmanN,Q5568454,,64jlf5hq50hfvnt
66,BengtsJ,Q4938094,,qn2455582bw3zm7
67,BengtssonM,Q5570297,,86lnncts0fh0rk2
68,BenzelstiernaL,Q5570937,,dbqswhwx3w0w6dj
71,BergGO,Q63826684,,c9prt9hw5hl5wrp
72,BergJA,Q110135473,,3d1nrs7r1njvx7hg
73,BergboS,Q2292803,,53hkljgp18tcsxd
76,BergenmarJ,Q100662990,,97mprdwt33fkj7c
78,BerggrenHenrik,Q174639,,hftx18612132433
79,BerggrenPG,Q99093637,,mkz123b52x9kkkj
81,BerghultA,Q100151901,,b8nrw5vv57v0mz7
83,BerglundK,Q4987430,,dbqsshdx02v5fw4
86,BergströmD,Q5573300,,tr579pcc55skxvr
89,BergsøeV,Q715868,,khwzznv310wsz1m
92,BertrandA,Q366464,,b8nrwz7v3m244pp
95,BilangJJ,Q11865659,,97mqvsqt16ltd22
96,BillmarkCJ,Q534911,,64jllbtq4k9bb8m
102,BjerkénCG,Q100151904,,vs69f9qd18npv4t
103,BjersOM,Q100151939,,dbqsv69x54cw88n
109,BladhE,Q86209372,,sq468qzb5h520ts
112,BodinsonCU,Q100151967,,w7h5tnr3tznxxmvl
113,BoethiusAMS,Q102851,,b8nqs5rv5qzrw32
114,BoglindA,Q100151979,,20dgjztl3nldm2f
116,BohmanJ,Q52554989,,nl02wqp64kr9zlh
117,BohmanJG,Q108373294,,ljx0v024058915n
120,BoklundJC,Q1396614,,mwmwrllnkm2vs6md
124,BondeK,Q5598267,,c9prtk5w4frxk1j
125,BouchtB,Q4940266,,20dgg68l0z7snmv
128,BragE,Q4940356,,gdsw0w303cn7ss0
129,BrandelHG,Q5584748,,fcrv0wpz2bjpfqn
130,BranstromOhmanA,Q97725641,,0xbdf8sj104s0v8
131,BredbergHW,Q5585717,,20dhnk4l0k4wsbr
135,BrobergFA,Q116749034,,3j39bmd01qks6cm6
136,BrobergG,Q4097122,,42gjj9sn5fjrpls
139,BrockeniusZ,Q100153962,,tr5796vc2j1rtms
144,BrändströmKA,Q100153203,,64jlldqq3v8nm6h
147,BuddeJ,Q723881,,c9psx2qw2l662fd
148,BuggeWicksellA,Q4766891,,75kmmdbr1dk0mb9
152,BuschW,Q109540,,vs68814d12gnvrv
154,BuskJensenL,Q100153298,,31fhh8cm47lx508
155,ButenschönA,Q14932468,,fcrtw4rz0pcmbrm
156,ByggmastarES,Q4941380,,42gjjbtn1blk985
159,BüchnerG,Q154014,,42gjj96n392j82d
162,CarlbergF,Q4941831,,vs68bj2d1r2j81h
164,CarpelanB,Q318198,,dbqssm7x0djtx6d
170,CelsiusOäldre,Q954771,,xv8bd96g42txg85
171,CentervallFJG,Q51271707,,42gktwqn238gbxr
172,ChierlinLA,Q5607753,,xv8b54cg5c96w7z
174,ChristierninPN,Q5698081,,vs68837d2kfx672
175,ClerckCA,Q455194,,31fjmpdm3s8xl2q
179,CoyetWJ,Q2573497,,hftwzw3153gkjgx
182,CronhamnAF,Q100153835,,hftwzl6113pmd2j
183,CronholmB,Q5613494,,nl022xz6560c7lb
184,CronstrandB,Q5613598,,97mppl2t35smdx9
186,Cyprianus,Q190240,,97mppkrt5skvh1r
187,CösterF,Q5614632,,zw9cf22h2llqf6q
192,DammJ,Q18747153,,42gjkfwn3k65fhv
197,DeperthesJLHS,Q55836246,,tr58f6gc3wqqnxc
198,DeperthesJLHS,Q55836246,,tr58f6gc3wqqnxc
202,DomellöfG,Q79300718,,hftwwtd116mpqfh
207,DuvalAVP,Q767332,,tr58d63c1pjj82k
208,DübenA,Q5626139,,khwz0xf34rwmwmw
210,EdlundLE,Q5627297,,vs6889ld2f4z03l
214,EhrenmalmA,Q26239752,,dbqtxnxx4blwm0t
215,EkdahlL,Q4946048,,xv8bbcng2xrrdqp
216,EkelundE,Q5629660,,qn2443k84dgb22l
218,EkermannA,Q4946087,,6g3xxv824vmb0m2m
219,EkholmPE,Q99874105,,jgvxxxz23scgxb2
221,EkmanL,Q22341161,,0xbdg05j583d7vq
223,EkströmCO,Q26239931,,20dg9gdl1kjdfqk
224,EleniusL,Q54009890,,nl02236648gj3tr
226,EllströmB,Q4946529,,mkz110q50zn4hpc
228,EmporagriusEG,Q6000000,,sq468ngb3s316kb
230,EnckellM,Q5711210,,zw9ccb5h0ztfqlg
231,EnckellO,Q5711217,,0xbddc6j430xqkv
232,EnerothC,Q74009699,,sq4681gb3j77jxh
233,EneströmG,Q1432333,,b8nqss8v3vndfmh
234,EngG,Q18238655,,gdsvvvk01xtwnzh
235,EnglundCE,Q5712522,,khwzzxv3077lh8c
237,EngströmP,Q24018987,,hftwwx6123p42m0
238,EnnesCL,Q99860772,,ljx15cz45scqtcl
240,ErfurthS,Q4946897,,hftwwvx1130hx5h
241,EricusMatthiae,Q99871205,,zw9cgsph0ck4b79
245,ErixonS,Q382709,,1zcfffqk37nmsmw
247,EsselinH,Q108375100,,wt79czvf0dfhnxd
248,EstlanderB,Q5720008,,1zcfffvk0d70ql6
249,Euphorion,Q921175,,xv8chq2g5qh14v1
255,FalkenbergG,Q5724432,,42gknd1n43mdsn5
260,FitzgeraldFS,Q93354,,sq46672b0d63qwc
264,FlorianJPC,Q551740,,vs69jjvd1ztvndq
265,FlorianJPC,Q551740,,vs69jjvd1ztvndq
274,ForsåsScottH,Q99872638,,fcrv20jz1fgsx55
278,FrankenbergO,Q99872882,,zw9djszh28tsbql
280,FredlundK,Q71400005,,42gksh0n0x55l53
281,FribergM,Q4948917,,hftx12z153920jd
283,FriesenO,Q5744398,,b8nqqs6v15zm2mb
287,FrykstrandK,Q4949094,,b8nqs5lv0fq29c3
288,FryxellS,Q71412843,,97mqz7pt13fd7v5
289,FröbergG,Q98106217,,hftwxrg10k2dk7q
293,FurulandG,Q98640164,,ljx00cz44p4qzkn
294,GadhH,Q2027592,,nl024px61cbz56v
296,GambyE,Q59529907,,1zcffhbk2qzqcbx
297,GananderC,Q1338208,,86lnnqks5p9shk5
299,GedinD,Q109683592,,rp357v593m51hjp
303,GerhardJ,Q67477,,wt79crkf1clqpv2
304,GerstäckerF,Q77478,,97mqvpdt0wdqqvn
305,GetheC,Q5757453,,qn246wv85qb4b3l
306,GierowKR,Q5758618,,53hkknsp526mp8c
313,GoldoniC,Q165534,,qn2447k85k7gspd
315,GottliebE,Q100443632,,mkz14s9508cz9k3
316,GraanOS,Q5766451,,tr57996c3p4x38s
317,GraanOS,Q5766451,,tr57996c3p4x38s
321,GravesP,Q98141588,,ljx157s408shd95
322,GregerssonB,Q3640311,,20dgh85l29wg3qd
325,GripenhielmJ,Q50347207,,xv8bdfgg3046ff0
326,GrundtvigNFS,Q331893,,rp3558193k40c45
327,GrundtvigNFS,Q331893,,rp3558193k40c45
331,GullbergHj,Q291194,,pm1336375c27fgz
332,GullstamM,Q105729489,,dq3qsrd4bd2c8pwp
334,GuntlackJ,Q5777092,,0xbddhfj2b06wq6
340,GyllenhielmCC,Q2625691,,ljx0v8x40zn9qz1
341,GylleniusP,Q5779378,,86lnpsss1cf58vx
348,HagbergL,Q4951912,,dbqtzjqx1jh9x4x
351,HagströmT,Q100235624,,c9psxgpw520z66g
356,HammarlundA,Q50512428,,qn247pw82x2b7f5
358,HansenHN,Q5788394,,ljx03734240z8mp
368,HausenR,Q3431655,,nl0245s60g9802v
374,HedlundBB,Q5796003,,jgvxs8m224lmk8q
375,HedlundM,Q59532333,,qn245tk8077lhqr
376,HedmanP,Q5796301,,xv8ch0mg51qrxzd
378,HelandM,Q5798355,,ljx14vw40nppv6h
379,HelanderH,Q85468652,,gdsvwtf03hfrqwj
380,HelanderK,Q4953352,,rp356tt92jngnls
381,HelanderS,Q52529077,,64jlmc5q0h67qcb
382,HeldvadN,Q37989300,,fcrtx10z43hndgx
384,HelledayR,Q116950084,,fcrv3p4z3nq6v75
385,HellquistM,Q102104688,,hftwxmj15rnmhlz
386,HemmersamM,Q100419057,,97mprc7t19975d8
387,HemmingsenN,Q665031,,rp358cc93j50k2m
390,HenriksonP,Q59609751,,qn24527801c5p98
393,HertzbergF,Q5803571,,c9prsr7w5shn29c
395,HesseliusA,Q5803979,,khwz2pn35k31cbb
397,HillgrenB,Q5806054,,fcrvz3bz2dqdlzj
402,HjortsbergM,Q100621524,,53hlqq9p10jq7x8
404,HoffbergCF,Q5808801,,xv8cgxjg0g2tklj
410,HolmbergsonJ,Q5811091,,c9psww3w5fx4k7z
411,HolmgrenAM,Q4766181,,b8nqrvsv47bk1pg
413,HolmströmR,Q66122070,,pm149f474mxl9ct
416,HosemannT,Q1640970,,42gkphfn2dz5lmv
418,HugoV,Q535,,tr5780zc5bxxld3
420,HultOW,Q37008204,,pm1350x741c3krj
422,HultinA,Q5816640,,pm135r072lpxjpc
426,HärdelinA,Q63367346,,jgvxz4322zr54jg
428,HögbergO,Q5820566,,vs68bd5d14h1m87
430,HögstedtA,Q5820882,,xv8bd86g07lzm8f
433,HölderlinF,Q75889,,97mpk48t229tb0n
436,IngströmP,Q82279226,,0xbflvrj317j6h2
437,InveniusR,Q5395421,,86lps6ds0k910xx
438,IsbergA,Q5824477,,c9psw9hw2xcpl9s
439,IvarsonBergstenB,Q75714539,,qn245bn83vj1f3k
440,IvarssonU,Q52554792,,mkz127f558gk14c
443,JanssonSB,Q74250430,,ljx017t44pnp2p3
444,JanssonSBF,Q5879921,,vs689g5d0kg6p7z
446,JocelynAH,Q48531448,,sq47cscb0fsvdzk
447,JohanssonAMCJ,Q71386694,,1zcfg6qk10mcrww
452,JohnsonE,Q131326,,hftwz1t13jtw8r9
453,JohnssonA,Q3435726,,1zcfgblk1gv4hrs
455,JonssonCJ,Q6140353,,vs68903d2l2x9nj
462,JäderinA,Q5895048,,31fhlcbm1l9qnjd
463,JärnefeltE,Q1390614,,0xbdgn3j288c6f8
464,JärnerVV,Q5895403,,fcrtv2cz1vr3w94
466,JönsonJ,Q3436145,,nl0385862xbcqcp
467,JönssonAM,Q114115124,,ljx01rp45sr1r0n
468,JörgensenN,Q100574878,,wt79bjzf3whk4cx
470,KafkaF,Q905,,vs6890md120bwhj
471,KahlsonG,Q110212315,,b8nqtnxv59x5q6l
473,KalmeterH,Q5898294,,86lnq8rs0gd1z7b
474,KarlssonKH,Q5901669,,fcrtwx0z3h504dc
476,KaulbachW,Q604107,,vs69dhrd5bbwrs4
478,KempeA,Q498733,,42gjk9mn19vzg5g
479,KeniciusP,Q1345250,,0xbdgvnj1qjsjgt
482,KinckHE,Q1579293,,nl0257160x4td71
483,KiöpingNM,Q5911782,,dbqsvgbx1lkldpw
484,KjellgrenJ,Q6143413,,pm134df706nwflg
485,KlemanA,Q47457583,,cqzztlz79p9qwxdb
486,KlitgaardPovlsenK,Q114115793,,1zcfgqzk31lpd8c
488,KnösO,Q4225027,,nl037z963dn8kp1
492,KolmodinI,Q1674617,,dbqsvz8x24h293w
499,KristjánsdottirD,Q56736511,,wt7945cf3gzr0z0
502,KræmerARvon,Q5925056,,64jlp1cq351t7z2
503,KræmerV,Q4959702,,b8nqldbv5025h52
504,KrügerHanssonK,Q97929079,,pm13zrq746hnntf
507,KärnellKÅ,Q99849334,,c9prtr7w1tx945l
509,KöhlerE,Q3427152,,86lnrrds29w56g5
510,KöhlerJI,Q55909803,,xv8cgdhg3hlhghx
511,KönigsmarckA,Q440427,,hftwzcn1428sffd
512,KörlingF,Q5929206,,khwz28635810wv7
